IV0029, -10
IV0031, 1
IV0032, 1
IV0033, 1
IV0034, 1.5
IV0036, 2
IV0037, 5
J111110, 116
J112100, 819
K131130, 1006
K131220, 3305
K131320, 870
K131321, 3751
K132210, 925
K133110, 62
K133111, 900
K133310, 7800
K133420, 6088
K133421, 195
K133511, 40
K133610, 17954.000022755
K133611, 1041
K133612, 823
K134120, 5016
K134121, 10090
K134220, 2180
K134422, 66773
K134423, 200
K135320, 10622
L00002, -209
L00003, -88
L00004, -90
L00006, -1
L00008, 4
L00009, 6
L00010, -1075
L000100, 5
L000101, 20000
L000105, 10
L00011, -10
L00012, 11
L000122, 2
L000123, 1
L00013, 6
L000130, 3275
L00015, 204
L00020, 131
L00022, 28
L00026, 19898
L00031, 1
L00033, 2
L00040, 35
L00043, 4188
L00044, 5300
L00045, 4
L00046, 67
L00048, 15
L00049, 1
L00050, 3
L00051, 3
L00054, 4
L00055, 3
L00056, 5
L00057, 3
L00059, 6
L00060, 4
L00062, 1
L00063, 1
L00064, 2
L00065, 2750
L00066, 3
L00067, 3
L00069, 2
L00070, 2
L00071, 2
L00072, 1
L00074, 2
L00075, 1
L00077, 3
L00078, 1
L00079, 3
L00086, 3120
L00095, 4
L00101, 2
L00103, 2
L00127, 1
L00130, 4
L00153, 5
L00155, -118
L00158, 8
L00159, 1
L00160, 1
L00161, 1
L00163, 1
L00166, 1
L00200, 1
L00201, -1005
L00205, -80
L00207, 56
L00209, 3557
L00210, 17
L00211, -342
L00212, 8
L00213, 1
L00255, 1
L00259, 1
L00269, 1
L00270, 1
L00272, 1
L00274, 1
L00276, 2
L00283, 7
L00284, 2
L00285, -95
L00286, 651
L00287, 1
L00288, 4
L00289, 1
L00296, 40
L00297, 1
L00301, 7000
L00303, 4
L00304, 23
L00305, 3
L00306, 6
L00307, 9
L00308, 9
L00309, 9
L00312, 1
L00315, 18
L00316, 3
L00317, 2
L00327, 2
L00328, 1
L00330, 25
L00335, 2
L00342, 2
L00343, 12
L00344, 11
L00345, 1
L00352, 12000
L00362, 4
L00363, 4
L00364, 1
L00365, 1
L141110, 156
L141140, 183
L141141, 20
L141142, 7
L141143, 0.5
L141144, 38
L141151, -1
L142700, 275
L142710, 3195
L143100, 23
L143200, 804
L143201, 3
L143202, 5
L143203, 94
L143208, 5
L143209, 3
L143210, 3119
L143211, 116
L143300, -1809
L144320, 122
L144321, 104
LE0001, 1
LE0002, 2
LE0003, 1
LE0004, 1
LE0005, 1
LE0006, 1
LM00008, 5
LM00057, 1
LM00058, 1
M151110, 23033.000523109
M151210, 774
M151310, 26675
M152400, 5066
M152410, 584
M153500, 108
M154210, 13429
M155100, 1790
M155200, 4207
M155210, 693
M156100, 1834
M156200, 151
ME0002, 4
ME0006, 9
ME0007, 6
N161100, -12
N161210, 136
N161211, 30
N162110, 1008
N162120, 11726
N162210, 14956
N162211, 5375
NSF00001, 94.75
P181100, 1653
P182100, 7870
P196211, -5
P196212, 6
PI96214, 330
PO1, 8
PP2, 5
PP4, 4
PP5, 8
PP6, 8
PP7, 3
PP9, 1
PREM01, 10
Q202220, -4709
Q2022210, 10
R211100, 7
R211110, 438
R211111, 218
R211130, 138
R211160, 661
R211170, 151
R21214, 50
R212200, 140
R212210, 708
R212211, 689
R212212, 30
R212213, 40
R212300, 210
R212500, 50
R213100, 50
R214110, 40
R214111, 40
R214112, 50
R214113, 50
R214210, 74
R214410, 1773
R215100, 60
R221110, 93
R222210, 21
R222211, 7
R223150, 0.5
R223151, 244
S140001, 1180
SC0002, 49
SC0003, 4
SC0005, -1012
SC0006, 9
SC0008, 336.9
SC0009, 112
SC0010, 703.499999
SC0011, -1.25
SC0012, 687.1
SC0013, 241.98
SC0014, -100
SC0015, 11
SC0016, -303.25
SC0018, 369
SC0019, 0.75
SC0052, 19
SC0085, 2
SC009, 27
SF00009, 25
SM001, 57
ST0001, 29
ST0002, 700
ST0003, 500
ST0004, 958
ST0005, 65
ST0006, 5
ST0008, 2355
ST0010, 30
ST00100, 6
ST00102, 97
ST0011, 11
ST0012, 11
ST00122, -40
ST00129, 3
ST00130, 9
ST00134, 100
ST00136, 2
ST0014, 23
ST00149, 2
ST00150, 8
ST00159, 3
ST0016, 200
ST00166, 445
ST0018, 222
ST00181, 3
ST0019, 441
ST00201, 19
ST00206, 2625
ST0021, 4578
ST00217, 5
ST0022, 2
ST00220, 1
ST0023, 6000
ST00231, 1
ST0024, 9
ST00240, 12
ST00249, 20
ST00255, 2
ST0026, 2
ST00269, 2
ST0027, 2
ST00270, 1
ST00285, 14
ST0029, 4
ST00290, 2
ST00298, 40
ST00299, 7
ST00301, 150
ST00302, 11
ST00315, 2250
ST00319, 50
ST0032, 37
ST0033, 10
ST0034, 12
ST00341, 1
ST0035, 2
ST0036, 19660
ST0037, 8500
ST00370, 1
ST00373, 3
ST0038, 6000
ST0042, 41
ST0043, 129.5
ST0044, 325
ST0045, 52
ST0047, 80
ST0048, -34
ST0049, 5
ST0052, 9
ST0053, 18
ST0054, 41
ST0056, 181
ST00612, 5
ST0068, 2
ST0069, 89
ST0070, 15
ST0071, 500
ST0072, 6
ST0075, 12
ST0076, 100
ST0078, 7
ST0079, 1
ST0081, 3
ST0082, 5
ST0092, 25
ST0096, -87
ST0114, 5
ST0125, 17
ST0131, 2
ST0139, 2
T00001, 60
T00003, 100
T00004, 150
T00005, 80
T00006, 100
T00007, 50
T00009, 110
T00010, 72
T000104, 80
T00011, 40
T00012, 1130
T00014, 3394
T00015, 1440
T00016, 930
T00017, 925
T000176, 3
T00018, 50
T00019, 120
T00020, 1450
T00021, 478
T00022, 100
T00023, 100
T00024, 135
T00027, 6429
T00029, 2470
T00030, 2100
T00031, 735
T00032, 4
T00033, 33
T00034, 8
T00035, 1690
T00036, 500
