W32070, 2
W320712, -2
W320745, -1
W320748, 6
W32080, -2
W32081, 11
W32089, 1
W3209, 10
W321008, 36
W321057, -5
W321101, -1
W321111, 3
W321114, 16
W32113, -3
W32114, -1
W3212, 2
W32125, 15
W32131, 2
W32144, 10
W321450, 25
W321451, 119
W32169, -17
W32183, -10
W32184, 5
W32186, -1
W32189, -2
W32193, -2
W322015, -2
W322016, 13
W32210, -1
W322170, 2
W322291, -6
W322343, 1
W32260, 51
W32265, -3
W32290, -9
W32457, 1
W3246, 35
W3247, -14
W32531, -1
W32532, 2
W32534, -1
W325355, 2
W32546, 4
W32548, -3
W32551, -1
W32554, -1
W32555, -8
W325560, -2
W32558, -1
W32567, 10
W326401, 3
W32642, -5
W32887, 2
W32892, -2
W32989, -1
W32991, 2
W32992, -44
W32998, 5
W33002, 10
W33014, 4
W330141, -1
W33022, 1
W33060, 4
W33062, -1
W33066, -1
W33067, -3
W33091, -2
W33092, 2
W330991, -1
W3322, 4
W33239, -30.5
W33240, 80
W33242, 25
W33334, -14
W33451, 1
W33454, -1
W33551, 13
W33557, -1
W33559, 20
W33560, -3
W33561, -4
W33562, 20
W33990, -2
W33996, 2
W34002, 2
W40022, 2
W410004, 5
W4433, 1
W4434, 5
W4435, -1
W4436, -2
W4437, 22
W4438, 6
W4439, 1
W4440, 4
W4441, 4
W4444, 1
W4453, 2
W4471, 5
W4474, -2
W4479, -4
W4482, -1
W4484, -1
W4491, -16
W4492, -10
W4493, -3
W4561, -3
W4608, 2
W4616, -201
W4617, 36
W4618, -60
W4625, -1
W4646, -6
W4647, -1
W4664, 6
W4666, 2
W4667, 4
W4668, 9
W4669, 6
W4670, 6
W4671, 2
W4672, 2
W4673, 12
W4674, 4
W4675, 1
W4676, 1
W4677, 1
W4678, 1
W4679, 1
W4680, 1
W4681, 1
W4700, 4
W4701, 2
W4702, 1
W4703, 1
W4704, 2
W4705, 6
W4706, 8
W4707, 1
W4708, 1
W4711, 2
W4712, 1
W4713, 1
W4714, 1
W4715, 4
W4716, 6
W4717, 30
W4718, 1
W4719, 1
W4751, 1
W5009, 4
W5011, 20
W5012, 1
W5013, 11
W5014, 2
W5015, 2
W5016, 17
W5017, 116
W5018, 85
W5019, 8
W5020, 13
W5021, 10
W5022, 3
W5023, 916
W5050, 1
X00001, -2
X00002, -1
X00003, -400
X00004, -400
X00005, 600
X00007, -1
X0008, 6
X0009, 3
X271100, -44
X271250, -1160
X271251, 28261
X271300, 26870
X271700, -9030
X272310, 37
